y_true,y_pred,residual
0.0,0.08553479,0.08553479
0.05357143,0.23146212,0.17789069
0.2488889,0.29628757,0.047398670000000004
0.12162162,0.30115792,0.17953630000000004
0.27586207,0.28651014,0.01064807000000001
0.023255814,0.08977431,0.066518496
0.13709678,0.29555625,0.15845947000000002
0.031914894,0.1913046,0.159389706
0.16393442,0.20050243,0.03656801000000001
0.09259259,0.24304907,0.15045648
0.11111111,0.1116579,0.0005467900000000053
0.203125,0.31930175,0.11617675
0.0,0.083481476,0.083481476
0.17396061,0.34213808,0.16817747000000002
0.16120219,0.37885267,0.21765048
