feature,importance
heart_rate_mean,16
systolic_bp_min,12
spo2_mean,12
respiratory_rate_mean,11
level_of_consciousness_missing_pct,7
heart_rate_missing_pct,7
temperature_min,7
spo2_min,6
respiratory_rate_max,5
temperature_missing_pct,4
spo2_missing_pct,4
level_of_consciousness_mean,3
systolic_bp_max,3
level_of_consciousness_median,2
heart_rate_max,2
heart_rate_median,1
temperature_max,1
respiratory_rate_missing_pct,1
supplemental_o2_max,1
systolic_bp_missing_pct,1
co2_retainer_min,0
co2_retainer_mean,0
level_of_consciousness_max,0
co2_retainer_median,0
supplemental_o2_missing_pct,0
co2_retainer_max,0
respiratory_rate_median,0
level_of_consciousness_min,0
heart_rate_min,0
systolic_bp_mean,0
systolic_bp_median,0
temperature_mean,0
temperature_median,0
supplemental_o2_min,0
supplemental_o2_mean,0
supplemental_o2_median,0
spo2_max,0
spo2_median,0
respiratory_rate_min,0
co2_retainer_missing_pct,0
