feature,importance
heart_rate_max,20
spo2_min,14
supplemental_o2_mean,12
respiratory_rate_max,9
respiratory_rate_median,6
level_of_consciousness_missing_pct,4
temperature_missing_pct,3
respiratory_rate_mean,3
heart_rate_median,3
temperature_median,2
temperature_mean,2
temperature_min,2
temperature_max,2
systolic_bp_max,2
spo2_missing_pct,1
heart_rate_missing_pct,1
systolic_bp_mean,1
respiratory_rate_missing_pct,1
supplemental_o2_median,0
co2_retainer_min,0
co2_retainer_max,0
systolic_bp_missing_pct,0
supplemental_o2_missing_pct,0
spo2_median,0
co2_retainer_median,0
respiratory_rate_min,0
co2_retainer_mean,0
level_of_consciousness_median,0
level_of_consciousness_max,0
level_of_consciousness_min,0
level_of_consciousness_mean,0
supplemental_o2_min,0
spo2_mean,0
heart_rate_min,0
heart_rate_mean,0
spo2_max,0
systolic_bp_min,0
systolic_bp_median,0
supplemental_o2_max,0
co2_retainer_missing_pct,0
