feature,importance
heart_rate_max,28
respiratory_rate_max,25
respiratory_rate_mean,19
spo2_median,12
temperature_min,11
supplemental_o2_mean,11
heart_rate_median,6
level_of_consciousness_mean,6
spo2_min,6
systolic_bp_min,6
systolic_bp_median,6
respiratory_rate_missing_pct,4
respiratory_rate_median,4
temperature_max,3
heart_rate_missing_pct,3
heart_rate_min,3
spo2_mean,3
temperature_mean,2
level_of_consciousness_missing_pct,2
temperature_missing_pct,2
heart_rate_mean,2
supplemental_o2_max,1
level_of_consciousness_median,1
respiratory_rate_min,1
co2_retainer_min,0
systolic_bp_missing_pct,0
supplemental_o2_missing_pct,0
spo2_missing_pct,0
co2_retainer_max,0
level_of_consciousness_min,0
co2_retainer_mean,0
co2_retainer_median,0
level_of_consciousness_max,0
temperature_median,0
spo2_max,0
supplemental_o2_median,0
systolic_bp_max,0
supplemental_o2_min,0
systolic_bp_mean,0
co2_retainer_missing_pct,0
