feature,importance
respiratory_rate_min,21
respiratory_rate_mean,17
heart_rate_mean,15
temperature_missing_pct,13
respiratory_rate_missing_pct,13
heart_rate_max,13
temperature_min,12
spo2_min,12
level_of_consciousness_mean,12
heart_rate_min,11
level_of_consciousness_missing_pct,9
spo2_mean,8
systolic_bp_min,8
spo2_median,7
heart_rate_median,5
temperature_max,4
systolic_bp_missing_pct,4
spo2_missing_pct,3
respiratory_rate_median,3
respiratory_rate_max,3
heart_rate_missing_pct,2
systolic_bp_mean,2
systolic_bp_max,1
supplemental_o2_max,1
supplemental_o2_mean,1
co2_retainer_max,0
spo2_max,0
supplemental_o2_median,0
supplemental_o2_missing_pct,0
supplemental_o2_min,0
co2_retainer_mean,0
co2_retainer_min,0
co2_retainer_median,0
level_of_consciousness_max,0
level_of_consciousness_min,0
level_of_consciousness_median,0
temperature_median,0
temperature_mean,0
systolic_bp_median,0
co2_retainer_missing_pct,0
