feature,importance
respiratory_rate_mean,32
heart_rate_missing_pct,26
heart_rate_min,23
systolic_bp_missing_pct,16
level_of_consciousness_missing_pct,12
spo2_median,11
spo2_min,7
systolic_bp_max,6
level_of_consciousness_mean,5
respiratory_rate_missing_pct,5
respiratory_rate_max,4
temperature_mean,4
heart_rate_max,4
respiratory_rate_min,3
heart_rate_mean,3
spo2_mean,2
spo2_missing_pct,2
temperature_max,2
heart_rate_median,2
temperature_min,1
systolic_bp_min,1
systolic_bp_mean,1
supplemental_o2_max,1
supplemental_o2_mean,1
supplemental_o2_missing_pct,0
co2_retainer_mean,0
temperature_missing_pct,0
co2_retainer_max,0
co2_retainer_min,0
respiratory_rate_median,0
co2_retainer_median,0
level_of_consciousness_max,0
level_of_consciousness_min,0
level_of_consciousness_median,0
systolic_bp_median,0
temperature_median,0
supplemental_o2_min,0
supplemental_o2_median,0
spo2_max,0
co2_retainer_missing_pct,0
