feature,importance
respiratory_rate_mean,29
spo2_mean,16
spo2_missing_pct,14
level_of_consciousness_mean,12
temperature_mean,12
supplemental_o2_mean,10
heart_rate_min,10
systolic_bp_missing_pct,9
spo2_min,9
heart_rate_missing_pct,9
spo2_median,8
level_of_consciousness_missing_pct,8
temperature_median,7
heart_rate_median,7
systolic_bp_mean,3
systolic_bp_min,3
temperature_missing_pct,2
respiratory_rate_missing_pct,2
temperature_max,2
heart_rate_max,1
respiratory_rate_median,1
systolic_bp_median,1
respiratory_rate_min,1
heart_rate_mean,0
co2_retainer_max,0
respiratory_rate_max,0
spo2_max,0
supplemental_o2_median,0
supplemental_o2_missing_pct,0
supplemental_o2_min,0
supplemental_o2_max,0
co2_retainer_min,0
systolic_bp_max,0
co2_retainer_mean,0
co2_retainer_median,0
level_of_consciousness_max,0
level_of_consciousness_min,0
temperature_min,0
level_of_consciousness_median,0
co2_retainer_missing_pct,0
