feature,importance
respiratory_rate_mean,15
heart_rate_missing_pct,10
respiratory_rate_missing_pct,4
heart_rate_min,4
temperature_missing_pct,4
heart_rate_max,3
level_of_consciousness_missing_pct,3
spo2_median,2
heart_rate_mean,1
systolic_bp_min,1
temperature_median,1
spo2_min,1
co2_retainer_max,0
level_of_consciousness_median,0
co2_retainer_min,0
co2_retainer_mean,0
co2_retainer_median,0
level_of_consciousness_max,0
level_of_consciousness_min,0
spo2_missing_pct,0
level_of_consciousness_mean,0
supplemental_o2_missing_pct,0
systolic_bp_missing_pct,0
respiratory_rate_median,0
heart_rate_median,0
systolic_bp_max,0
systolic_bp_mean,0
systolic_bp_median,0
temperature_max,0
temperature_min,0
temperature_mean,0
supplemental_o2_max,0
supplemental_o2_min,0
supplemental_o2_mean,0
supplemental_o2_median,0
spo2_max,0
spo2_mean,0
respiratory_rate_max,0
respiratory_rate_min,0
co2_retainer_missing_pct,0
