feature,importance
respiratory_rate_mean,22
heart_rate_missing_pct,21
heart_rate_min,10
heart_rate_mean,8
respiratory_rate_median,6
level_of_consciousness_mean,6
heart_rate_median,6
spo2_min,5
temperature_mean,5
systolic_bp_missing_pct,4
spo2_mean,4
supplemental_o2_mean,3
level_of_consciousness_missing_pct,3
supplemental_o2_max,3
respiratory_rate_max,3
spo2_median,3
systolic_bp_max,3
spo2_missing_pct,2
heart_rate_max,1
level_of_consciousness_median,1
systolic_bp_min,1
temperature_missing_pct,1
temperature_median,1
co2_retainer_mean,0
supplemental_o2_missing_pct,0
respiratory_rate_min,0
respiratory_rate_missing_pct,0
co2_retainer_max,0
co2_retainer_min,0
spo2_max,0
co2_retainer_median,0
level_of_consciousness_max,0
level_of_consciousness_min,0
supplemental_o2_median,0
systolic_bp_mean,0
systolic_bp_median,0
temperature_max,0
temperature_min,0
supplemental_o2_min,0
co2_retainer_missing_pct,0
